Timestamp,Gender,Have you ever done an online purchase?,Have you done an online purchase during last 6 months?,"If yes, how many different items have you purchased within those 6 months?",Choose the type of the product you have purchased most frequently.,What type of vendors you mainly purchase from?,Select the international e-commerce platform you mostly use for purchases.,Select the local e-commerce platform you mostly use for purchases.,"Have you directly purchased from the vendor's online ordering site, without going through a well-known e-commerce platform like above?",What device you normally use when doing online purchases?,What is the most common way you get to know about online purchasing sites?,What is the maximum amount you prefer to pay for an online purchase in LKR?,Rate your overall satisfaction about online purchases in a 1-5 scale (considering your past experience). 1 is not satisfied at all. 5 is extremely satisfied.
2018/06/10 9:04:52 PM GMT+5:30,Male,Yes,Yes,2,"Wearables (dresses, watches, shoes etc.)",Both,ebay,kapruka.com,Yes,Laptops,Facebook,50 USD,4
2018/06/10 9:14:01 PM GMT+5:30,Female,Yes,No,,"Bags, Jewellery or any other fashion accessories",Foreign,ebay,None,No,Laptops,Facebook,1000 - 5000,4
2018/06/10 9:17:33 PM GMT+5:30,Female,Yes,Yes,1,"Wearables (dresses, watches, shoes etc.)",Both,ebay,kapruka.com,Yes,Laptops,I search online when I get a requirement,1000 - 5000,4
2018/06/11 12:09:59 PM GMT+5:30,Male,Yes,Yes,1,Electronic Devices/Computer Equipments,Local,ebay,Retail genius,No,Laptops,Word of Mouth of friends,10000 - 30000,4
2018/06/11 12:10:21 PM GMT+5:30,Male,Yes,Yes,2,Electronic Devices/Computer Equipments,Foreign,ebay,daraz.lk,Yes,Both,I search online when I get a requirement,5000 - 10000,4
2018/06/11 12:10:31 PM GMT+5:30,Male,Yes,Yes,4,Electronic Devices/Computer Equipments,Foreign,AliExpress,takas.lk,No,Both,I search online when I get a requirement,5000 - 10000,4
2018/06/11 12:12:38 PM GMT+5:30,Female,Yes,Yes,,"Wearables (dresses, watches, shoes etc.)",Foreign,ebay,None,Yes,Both,Word of Mouth of friends,5000 - 10000,3
2018/06/11 12:14:32 PM GMT+5:30,Female,Yes,Yes,4,Collectibles,Local,Instagram profiles,Instagram profiles,Yes,Mobile Devices,Instagram,1000 - 5000,3
2018/06/11 12:15:38 PM GMT+5:30,Male,Yes,Yes,3,Electronic Devices/Computer Equipments,Foreign,ebay,MyStore.lk,No,Both,Word of Mouth of friends,10000 - 30000,4
2018/06/11 12:16:56 PM GMT+5:30,Male,Yes,Yes,4,Electronic Devices/Computer Equipments,Foreign,AliExpress,EAP Movie ticket booking,No,Both,Word of Mouth of friends,10000 - 30000,5
2018/06/11 12:28:56 PM GMT+5:30,Male,Yes,No,,"Wearables (dresses, watches, shoes etc.)",Foreign,ebay,None,No,Laptops,Facebook,100 - 1000,3
2018/06/11 12:39:18 PM GMT+5:30,Male,Yes,Yes,4,Electronic Devices/Computer Equipments,Both,ebay,kapruka.com,No,Both,I search online when I get a requirement,1000 - 5000,4
2018/06/11 12:48:47 PM GMT+5:30,Male,Yes,Yes,4,Electronic Devices/Computer Equipments,Foreign,ebay,kapruka.com,Yes,Laptops,Direct Emails from the Vendor,10000 - 30000,3
2018/06/11 4:20:12 PM GMT+5:30,Male,Yes,Yes,12,"Bags, Jewellery or any other fashion accessories",Foreign,ebay,daraz.lk,Yes,Laptops,I search online when I get a requirement,1000 - 5000,5
2018/06/12 1:56:00 PM GMT+5:30,Female,Yes,No,,"Bags, Jewellery or any other fashion accessories",Foreign,ebay,kapruka.com,Yes,Laptops,Instagram,1000 - 5000,4
2018/06/12 3:02:28 PM GMT+5:30,Male,Yes,Yes,11,"Wearables (dresses, watches, shoes etc.)",Both,Amazon,bearappeal,No,Laptops,Facebook,1000 - 5000,4
2018/06/12 3:03:09 PM GMT+5:30,Male,Yes,Yes,3,Dildos,Both,ebay,midnightdivas.com,Yes,Both,Facebook,1000 - 5000,4
2018/06/12 3:03:31 PM GMT+5:30,Male,Yes,Yes,5,Electronic Devices/Computer Equipments,Foreign,AliExpress,takas.lk,Yes,Laptops,I search online when I get a requirement,5000 - 10000,4
